nlWrd,brWrd,cbWrd,test
slak,images/br_slak.png,images/cb_slak.png,0
zaal,images/br_zaal.png,images/cb_zaal.png,0
jaar,images/br_jaar.png,images/cb_jaar.png,0
mand,images/br_mand.png,images/cb_mand.png,0
moes,images/br_moes.png,images/cb_moes.png,0
blad,images/br_blad.png,images/cb_blad.png,0
diep,images/br_diep.png,images/cb_diep.png,0
geld,images/br_geld.png,images/cb_geld.png,0
knie,images/br_knie.png,images/cb_knie.png,0
hier,images/br_hier.png,images/cb_hier.png,0
leek,images/br_leek.png,images/cb_leek.png,0
mode,images/br_mode.png,images/cb_mode.png,0
kust,images/br_kust.png,images/cb_kust.png,0
kaal,images/br_kaal.png,images/cb_kaal.png,0
rijp,images/br_rijp.png,images/cb_rijp.png,0
soda,images/br_soda.png,images/cb_soda.png,0
ziek,images/br_ziek.png,images/cb_ziek.png,0
taal,images/br_taal.png,images/cb_taal.png,0
blik,images/br_blik.png,images/cb_blik.png,0
geit,images/br_geit.png,images/cb_geit.png,0
site,images/br_site.png,images/cb_site.png,0
mist,images/br_mist.png,images/cb_mist.png,0
stof,images/br_stof.png,images/cb_stof.png,0
zout,images/br_zout.png,images/cb_zout.png,0
jurk,images/br_jurk.png,images/cb_jurk.png,1
plek,images/br_plek.png,images/cb_plek.png,1
leuk,images/br_leuk.png,images/cb_leuk.png,1
dans,images/br_dans.png,images/cb_dans.png,1
stal,images/br_stal.png,images/cb_stal.png,0
baas,images/br_baas.png,images/cb_baas.png,0
uien,images/br_uien.png,images/cb_uien.png,0
poes,images/br_poes.png,images/cb_poes.png,0
palm,images/br_palm.png,images/cb_palm.png,0
vlek,images/br_vlek.png,images/cb_vlek.png,0
vorm,images/br_vorm.png,images/cb_vorm.png,0
lust,images/br_lust.png,images/cb_lust.png,0
vuur,images/br_vuur.png,images/cb_vuur.png,0
mijn,images/br_mijn.png,images/cb_mijn.png,0
baai,images/br_baai.png,images/cb_baai.png,0
laag,images/br_laag.png,images/cb_laag.png,0
schep,images/br_schep.png,images/cb_schep.png,0
maken,images/br_maken.png,images/cb_maken.png,0
bleek,images/br_bleek.png,images/cb_bleek.png,0
klauw,images/br_klauw.png,images/cb_klauw.png,0
flits,images/br_flits.png,images/cb_flits.png,0
piste,images/br_piste.png,images/cb_piste.png,0
jagen,images/br_jagen.png,images/cb_jagen.png,0
kabel,images/br_kabel.png,images/cb_kabel.png,0
steel,images/br_steel.png,images/cb_steel.png,0
laken,images/br_laken.png,images/cb_laken.png,0
stoom,images/br_stoom.png,images/cb_stoom.png,0
samen,images/br_samen.png,images/cb_samen.png,0
wagon,images/br_wagon.png,images/cb_wagon.png,0
baron,images/br_baron.png,images/cb_baron.png,0
gebit,images/br_gebit.png,images/cb_gebit.png,0
praat,images/br_praat.png,images/cb_praat.png,0
traag,images/br_traag.png,images/cb_traag.png,0
steek,images/br_steek.png,images/cb_steek.png,0
tekst,images/br_tekst.png,images/cb_tekst.png,0
kring,images/br_kring.png,images/cb_kring.png,0
jasje,images/br_jasje.png,images/cb_jasje.png,0
groen,images/br_groen.png,images/cb_groen.png,0
knaap,images/br_knaap.png,images/cb_knaap.png,0
flirt,images/br_flirt.png,images/cb_flirt.png,0
wegen,images/br_wegen.png,images/cb_wegen.png,1
parel,images/br_parel.png,images/cb_parel.png,1
lever,images/br_lever.png,images/cb_lever.png,1
zwart,images/br_zwart.png,images/cb_zwart.png,1
schat,images/br_schat.png,images/cb_schat.png,0
waken,images/br_waken.png,images/cb_waken.png,0
ijdel,images/br_ijdel.png,images/cb_ijdel.png,0
bever,images/br_bever.png,images/cb_bever.png,0
strak,images/br_strak.png,images/cb_strak.png,0
volop,images/br_volop.png,images/cb_volop.png,0
graaf,images/br_graaf.png,images/cb_graaf.png,0
snoep,images/br_snoep.png,images/cb_snoep.png,0
afval,images/br_afval.png,images/cb_afval.png,0
woede,images/br_woede.png,images/cb_woede.png,0
leren,images/br_leren.png,images/cb_leren.png,0
nodig,images/br_nodig.png,images/cb_nodig.png,0
kanjer,images/br_kanjer.png,images/cb_kanjer.png,0
dubbel,images/br_dubbel.png,images/cb_dubbel.png,0
muziek,images/br_muziek.png,images/cb_muziek.png,0
mening,images/br_mening.png,images/cb_mening.png,0
lokken,images/br_lokken.png,images/cb_lokken.png,0
heilig,images/br_heilig.png,images/cb_heilig.png,0
woning,images/br_woning.png,images/cb_woning.png,0
toeval,images/br_toeval.png,images/cb_toeval.png,0
boeien,images/br_boeien.png,images/cb_boeien.png,0
slapen,images/br_slapen.png,images/cb_slapen.png,0
geluid,images/br_geluid.png,images/cb_geluid.png,0
gezond,images/br_gezond.png,images/cb_gezond.png,0
geheim,images/br_geheim.png,images/cb_geheim.png,0
waarop,images/br_waarop.png,images/cb_waarop.png,0
oceaan,images/br_oceaan.png,images/cb_oceaan.png,0
vreten,images/br_vreten.png,images/cb_vreten.png,0
slagen,images/br_slagen.png,images/cb_slagen.png,0
loyaal,images/br_loyaal.png,images/cb_loyaal.png,0
kreeft,images/br_kreeft.png,images/cb_kreeft.png,0
koffie,images/br_koffie.png,images/cb_koffie.png,0
geduld,images/br_geduld.png,images/cb_geduld.png,0
staren,images/br_staren.png,images/cb_staren.png,0
legaal,images/br_legaal.png,images/cb_legaal.png,0
joggen,images/br_joggen.png,images/cb_joggen.png,0
zweven,images/br_zweven.png,images/cb_zweven.png,1
wijlen,images/br_wijlen.png,images/cb_wijlen.png,1
zingen,images/br_zingen.png,images/cb_zingen.png,1
maling,images/br_maling.png,images/cb_maling.png,1
excuus,images/br_excuus.png,images/cb_excuus.png,0
totaal,images/br_totaal.png,images/cb_totaal.png,0
zuster,images/br_zuster.png,images/cb_zuster.png,0
ticket,images/br_ticket.png,images/cb_ticket.png,0
lukken,images/br_lukken.png,images/cb_lukken.png,0
koppen,images/br_koppen.png,images/cb_koppen.png,0
vullen,images/br_vullen.png,images/cb_vullen.png,0
kleren,images/br_kleren.png,images/cb_kleren.png,0
besmet,images/br_besmet.png,images/cb_besmet.png,0
kennis,images/br_kennis.png,images/cb_kennis.png,0
vinger,images/br_vinger.png,images/cb_vinger.png,0
liefje,images/br_liefje.png,images/cb_liefje.png,0
klimmen,images/br_klimmen.png,images/cb_klimmen.png,0
twijfel,images/br_twijfel.png,images/cb_twijfel.png,0
waarvan,images/br_waarvan.png,images/cb_waarvan.png,0
hiervan,images/br_hiervan.png,images/cb_hiervan.png,0
bloeien,images/br_bloeien.png,images/cb_bloeien.png,0
aanzien,images/br_aanzien.png,images/cb_aanzien.png,0
kasteel,images/br_kasteel.png,images/cb_kasteel.png,0
doodmoe,images/br_doodmoe.png,images/cb_doodmoe.png,0
prikken,images/br_prikken.png,images/cb_prikken.png,0
verhaal,images/br_verhaal.png,images/cb_verhaal.png,0
keihard,images/br_keihard.png,images/cb_keihard.png,0
opzicht,images/br_opzicht.png,images/cb_opzicht.png,0
grappen,images/br_grappen.png,images/cb_grappen.png,0
seizoen,images/br_seizoen.png,images/cb_seizoen.png,0
geliefd,images/br_geliefd.png,images/cb_geliefd.png,0
gedicht,images/br_gedicht.png,images/cb_gedicht.png,0
waarbij,images/br_waarbij.png,images/cb_waarbij.png,0
trekker,images/br_trekker.png,images/cb_trekker.png,0
akkoord,images/br_akkoord.png,images/cb_akkoord.png,0
stiekem,images/br_stiekem.png,images/cb_stiekem.png,0
blijven,images/br_blijven.png,images/cb_blijven.png,0
knielen,images/br_knielen.png,images/cb_knielen.png,0
snuiven,images/br_snuiven.png,images/cb_snuiven.png,0
hechten,images/br_hechten.png,images/cb_hechten.png,0
eetlust,images/br_eetlust.png,images/cb_eetlust.png,1
invloed,images/br_invloed.png,images/cb_invloed.png,1
opkomen,images/br_opkomen.png,images/cb_opkomen.png,1
komisch,images/br_komisch.png,images/cb_komisch.png,1
smullen,images/br_smullen.png,images/cb_smullen.png,0
redding,images/br_redding.png,images/cb_redding.png,0
gegeven,images/br_gegeven.png,images/cb_gegeven.png,0
aanzoek,images/br_aanzoek.png,images/cb_aanzoek.png,0
afnemen,images/br_afnemen.png,images/cb_afnemen.png,0
vervoer,images/br_vervoer.png,images/cb_vervoer.png,0
aflopen,images/br_aflopen.png,images/cb_aflopen.png,0
gerucht,images/br_gerucht.png,images/cb_gerucht.png,0
rechten,images/br_rechten.png,images/cb_rechten.png,0
uitlaat,images/br_uitlaat.png,images/cb_uitlaat.png,0
innemen,images/br_innemen.png,images/cb_innemen.png,0
sufferd,images/br_sufferd.png,images/cb_sufferd.png,0
daarheen,images/br_daarheen.png,images/cb_daarheen.png,0
attentie,images/br_attentie.png,images/cb_attentie.png,0
uitdelen,images/br_uitdelen.png,images/cb_uitdelen.png,0
schuilen,images/br_schuilen.png,images/cb_schuilen.png,0
anarchie,images/br_anarchie.png,images/cb_anarchie.png,0
feestdag,images/br_feestdag.png,images/cb_feestdag.png,0
strikken,images/br_strikken.png,images/cb_strikken.png,0
eenhoorn,images/br_eenhoorn.png,images/cb_eenhoorn.png,0
bisschop,images/br_bisschop.png,images/cb_bisschop.png,0
oprotten,images/br_oprotten.png,images/cb_oprotten.png,0
schatten,images/br_schatten.png,images/cb_schatten.png,0
aarzelen,images/br_aarzelen.png,images/cb_aarzelen.png,0
weigeren,images/br_weigeren.png,images/cb_weigeren.png,0
apparaat,images/br_apparaat.png,images/cb_apparaat.png,0
stemming,images/br_stemming.png,images/cb_stemming.png,0
heengaan,images/br_heengaan.png,images/cb_heengaan.png,0
techniek,images/br_techniek.png,images/cb_techniek.png,0
maaltijd,images/br_maaltijd.png,images/cb_maaltijd.png,0
huisdier,images/br_huisdier.png,images/cb_huisdier.png,0
woestijn,images/br_woestijn.png,images/cb_woestijn.png,0
openbaar,images/br_openbaar.png,images/cb_openbaar.png,0
toegeven,images/br_toegeven.png,images/cb_toegeven.png,0
bijkomen,images/br_bijkomen.png,images/cb_bijkomen.png,0
getuigen,images/br_getuigen.png,images/cb_getuigen.png,0
aandelen,images/br_aandelen.png,images/cb_aandelen.png,1
mijnheer,images/br_mijnheer.png,images/cb_mijnheer.png,1
voorraad,images/br_voorraad.png,images/cb_voorraad.png,1
opkijken,images/br_opkijken.png,images/cb_opkijken.png,1
strekken,images/br_strekken.png,images/cb_strekken.png,0
aanraden,images/br_aanraden.png,images/cb_aanraden.png,0
goedkoop,images/br_goedkoop.png,images/cb_goedkoop.png,0
opheffen,images/br_opheffen.png,images/cb_opheffen.png,0
schaamte,images/br_schaamte.png,images/cb_schaamte.png,0
weeshuis,images/br_weeshuis.png,images/cb_weeshuis.png,0
driemaal,images/br_driemaal.png,images/cb_driemaal.png,0
middelen,images/br_middelen.png,images/cb_middelen.png,0
nakijken,images/br_nakijken.png,images/cb_nakijken.png,0
spanning,images/br_spanning.png,images/cb_spanning.png,0
bedoelen,images/br_bedoelen.png,images/cb_bedoelen.png,0
beseffen,images/br_beseffen.png,images/cb_beseffen.png,0
