frWrd,brWrd,cbWrd,test
abats,images/br_abats.png,images/cb_abats.png,"""0"""
acheter,images/br_acheter.png,images/cb_acheter.png,"""0"""
adulte,images/br_adulte.png,images/cb_adulte.png,"""0"""
affiche,images/br_affiche.png,images/cb_affiche.png,"""0"""
age,images/br_age.png,images/cb_age.png,"""0"""
agir,images/br_agir.png,images/cb_agir.png,"""0"""
aidez,images/br_aidez.png,images/cb_aidez.png,"""0"""
ami,images/br_ami.png,images/cb_ami.png,"""0"""
annonce,images/br_annonce.png,images/cb_annonce.png,"""0"""
arbre,images/br_arbre.png,images/cb_arbre.png,"""0"""
asthme,images/br_asthme.png,images/cb_asthme.png,"""1"""
audio,images/br_audio.png,images/cb_audio.png,"""0"""
automne,images/br_automne.png,images/cb_automne.png,"""0"""
avec,images/br_avec.png,images/cb_avec.png,"""0"""
avez,images/br_avez.png,images/cb_avez.png,"""0"""
balai,images/br_balai.png,images/cb_balai.png,"""0"""
baleine,images/br_baleine.png,images/cb_baleine.png,"""0"""
barbe,images/br_barbe.png,images/cb_barbe.png,"""1"""
bas,images/br_bas.png,images/cb_bas.png,"""0"""
belle,images/br_belle.png,images/cb_belle.png,"""0"""
bien,images/br_bien.png,images/cb_bien.png,"""0"""
boite,images/br_boite.png,images/cb_boite.png,"""0"""
bouche,images/br_bouche.png,images/cb_bouche.png,"""0"""
bête,images/br_bete.png,images/cb_bete.png,"""0"""
cadeaux,images/br_cadeaux.png,images/cb_cadeaux.png,"""1"""
calmez,images/br_calmez.png,images/cb_calmez.png,"""0"""
canoë,images/br_canoe.png,images/cb_canoe.png,"""0"""
cantine,images/br_cantine.png,images/cb_cantine.png,"""1"""
car,images/br_car.png,images/cb_car.png,"""0"""
carotte,images/br_carotte.png,images/cb_carotte.png,"""0"""
caveau,images/br_caveau.png,images/cb_caveau.png,"""0"""
chapeau,images/br_chapeau.png,images/cb_chapeau.png,"""0"""
chaton,images/br_chaton.png,images/cb_chaton.png,"""0"""
chef,images/br_chef.png,images/cb_chef.png,"""0"""
claire,images/br_claire.png,images/cb_claire.png,"""0"""
club,images/br_club.png,images/cb_club.png,"""0"""
codes,images/br_codes.png,images/cb_codes.png,"""0"""
coeur,images/br_coeur.png,images/cb_coeur.png,"""0"""
coiffer,images/br_coiffer.png,images/cb_coiffer.png,"""0"""
complot,images/br_complot.png,images/cb_complot.png,"""1"""
compte,images/br_compte.png,images/cb_compte.png,"""0"""
cons,images/br_cons.png,images/cb_cons.png,"""0"""
conseil,images/br_conseil.png,images/cb_conseil.png,"""0"""
content,images/br_content.png,images/cb_content.png,"""1"""
courage,images/br_courage.png,images/cb_courage.png,"""0"""
cousin,images/br_cousin.png,images/cb_cousin.png,"""0"""
crayon,images/br_crayon.png,images/cb_crayon.png,"""0"""
crée,images/br_cree.png,images/cb_cree.png,"""0"""
dames,images/br_dames.png,images/cb_dames.png,"""0"""
danses,images/br_danses.png,images/cb_danses.png,"""1"""
dauphin,images/br_dauphin.png,images/cb_dauphin.png,"""0"""
demi,images/br_demi.png,images/cb_demi.png,"""0"""
dessin,images/br_dessin.png,images/cb_dessin.png,"""0"""
destin,images/br_destin.png,images/cb_destin.png,"""0"""
deux,images/br_deux.png,images/cb_deux.png,"""0"""
doit,images/br_doit.png,images/cb_doit.png,"""1"""
diable,images/br_diable.png,images/cb_diable.png,"""0"""
dises,images/br_dises.png,images/cb_dises.png,"""0"""
donc,images/br_donc.png,images/cb_donc.png,"""0"""
droite,images/br_droite.png,images/cb_droite.png,"""0"""
dès,images/br_des.png,images/cb_des.png,"""1"""
déco,images/br_deco.png,images/cb_deco.png,"""0"""
délices,images/br_delices.png,images/cb_delices.png,"""0"""
efforts,images/br_efforts.png,images/cb_efforts.png,"""0"""
ego,images/br_ego.png,images/cb_ego.png,"""0"""
emmener,images/br_emmener.png,images/cb_emmener.png,"""0"""
enfant,images/br_enfant.png,images/cb_enfant.png,"""0"""
envie,images/br_envie.png,images/cb_envie.png,"""0"""
famille,images/br_famille.png,images/cb_famille.png,"""0"""
fiche,images/br_fiche.png,images/cb_fiche.png,"""1"""
filet,images/br_filet.png,images/cb_filet.png,"""0"""
foie,images/br_foie.png,images/cb_foie.png,"""0"""
frit,images/br_frit.png,images/cb_frit.png,"""1"""
frôlé,images/br_frole.png,images/cb_frole.png,"""0"""
fête,images/br_fete.png,images/cb_fete.png,"""0"""
gardez,images/br_gardez.png,images/cb_gardez.png,"""0"""
gaz,images/br_gaz.png,images/cb_gaz.png,"""0"""
gelé,images/br_gele.png,images/cb_gele.png,"""0"""
genre,images/br_genre.png,images/cb_genre.png,"""0"""
gentil,images/br_gentil.png,images/cb_gentil.png,"""1"""
goût,images/br_gout.png,images/cb_gout.png,"""0"""
grillé,images/br_grille.png,images/cb_grille.png,"""0"""
grottes,images/br_grottes.png,images/cb_grottes.png,"""0"""
gâteux,images/br_gateux.png,images/cb_gateux.png,"""0"""
hospice,images/br_hospice.png,images/cb_hospice.png,"""0"""
huile,images/br_huile.png,images/cb_huile.png,"""1"""
humeur,images/br_humeur.png,images/cb_humeur.png,"""0"""
injuste,images/br_injuste.png,images/cb_injuste.png,"""0"""
irrité,images/br_irrite.png,images/cb_irrite.png,"""0"""
jardin,images/br_jardin.png,images/cb_jardin.png,"""0"""
joue,images/br_joue.png,images/cb_joue.png,"""0"""
lampes,images/br_lampes.png,images/cb_lampes.png,"""0"""
lisez,images/br_lisez.png,images/cb_lisez.png,"""0"""
lésion,images/br_lesion.png,images/cb_lesion.png,"""0"""
macaque,images/br_macaque.png,images/cb_macaque.png,"""0"""
marquée,images/br_marquee.png,images/cb_marquee.png,"""0"""
marrer,images/br_marrer.png,images/cb_marrer.png,"""0"""
masque,images/br_masque.png,images/cb_masque.png,"""0"""
merle,images/br_merle.png,images/cb_merle.png,"""1"""
meubles,images/br_meubles.png,images/cb_meubles.png,"""0"""
midi,images/br_midi.png,images/cb_midi.png,"""0"""
minutes,images/br_minutes.png,images/cb_minutes.png,"""0"""
mon,images/br_mon.png,images/cb_mon.png,"""0"""
mot,images/br_mot.png,images/cb_mot.png,"""0"""
mère,images/br_mere.png,images/cb_mere.png,"""0"""
métal,images/br_metal.png,images/cb_metal.png,"""0"""
météo,images/br_meteo.png,images/cb_meteo.png,"""0"""
nagé,images/br_nage.png,images/cb_nage.png,"""0"""
neuf,images/br_neuf.png,images/cb_neuf.png,"""0"""
noir,images/br_noir.png,images/cb_noir.png,"""0"""
nom,images/br_nom.png,images/cb_nom.png,"""0"""
nombre,images/br_nombre.png,images/cb_nombre.png,"""0"""
nul,images/br_nul.png,images/cb_nul.png,"""0"""
occupez,images/br_occupez.png,images/cb_occupez.png,"""0"""
offre,images/br_offre.png,images/cb_offre.png,"""0"""
oiseaux,images/br_oiseaux.png,images/cb_oiseaux.png,"""0"""
onde,images/br_onde.png,images/cb_onde.png,"""1"""
orbite,images/br_orbite.png,images/cb_orbite.png,"""0"""
oui,images/br_oui.png,images/cb_oui.png,"""0"""
ouvrir,images/br_ouvrir.png,images/cb_ouvrir.png,"""0"""
pages,images/br_pages.png,images/cb_pages.png,"""0"""
panier,images/br_panier.png,images/cb_panier.png,"""0"""
panique,images/br_panique.png,images/cb_panique.png,"""0"""
par,images/br_par.png,images/cb_par.png,"""0"""
parcs,images/br_parcs.png,images/cb_parcs.png,"""0"""
parce,images/br_parce.png,images/cb_parce.png,"""0"""
pas,images/br_pas.png,images/cb_pas.png,"""0"""
pavé,images/br_pave.png,images/cb_pave.png,"""0"""
pensée,images/br_pensee.png,images/cb_pensee.png,"""0"""
petits,images/br_petits.png,images/cb_petits.png,"""0"""
peu,images/br_peu.png,images/cb_peu.png,"""0"""
pied,images/br_pied.png,images/cb_pied.png,"""0"""
pierre,images/br_pierre.png,images/cb_pierre.png,"""0"""
poche,images/br_poche.png,images/cb_poche.png,"""0"""
poulet,images/br_poulet.png,images/cb_poulet.png,"""0"""
présent,images/br_present.png,images/cb_present.png,"""1"""
prêt,images/br_pret.png,images/cb_pret.png,"""0"""
père,images/br_pere.png,images/cb_pere.png,"""0"""
quai,images/br_quai.png,images/cb_quai.png,"""0"""
quel,images/br_quel.png,images/cb_quel.png,"""0"""
quinze,images/br_quinze.png,images/cb_quinze.png,"""0"""
rangé,images/br_range.png,images/cb_range.png,"""1"""
regards,images/br_regards.png,images/cb_regards.png,"""0"""
restons,images/br_restons.png,images/cb_restons.png,"""1"""
resto,images/br_resto.png,images/cb_resto.png,"""0"""
ris,images/br_ris.png,images/cb_ris.png,"""1"""
risquez,images/br_risquez.png,images/cb_risquez.png,"""0"""
roi,images/br_roi.png,images/cb_roi.png,"""0"""
routes,images/br_routes.png,images/cb_routes.png,"""0"""
règle,images/br_regle.png,images/cb_regle.png,"""0"""
régime,images/br_regime.png,images/cb_regime.png,"""0"""
réussit,images/br_reussit.png,images/cb_reussit.png,"""0"""
rêvé,images/br_reve.png,images/cb_reve.png,"""0"""
sage,images/br_sage.png,images/cb_sage.png,"""1"""
saisons,images/br_saisons.png,images/cb_saisons.png,"""0"""
sale,images/br_sale.png,images/cb_sale.png,"""0"""
saumon,images/br_saumon.png,images/cb_saumon.png,"""0"""
seau,images/br_seau.png,images/cb_seau.png,"""0"""
second,images/br_second.png,images/cb_second.png,"""0"""
servant,images/br_servant.png,images/cb_servant.png,"""0"""
session,images/br_session.png,images/cb_session.png,"""0"""
site,images/br_site.png,images/cb_site.png,"""0"""
six,images/br_six.png,images/cb_six.png,"""0"""
sièges,images/br_sieges.png,images/cb_sieges.png,"""0"""
sourd,images/br_sourd.png,images/cb_sourd.png,"""0"""
sphères,images/br_spheres.png,images/cb_spheres.png,"""0"""
sympa,images/br_sympa.png,images/cb_sympa.png,"""0"""
séjour,images/br_sejour.png,images/cb_sejour.png,"""0"""
sûr,images/br_sur.png,images/cb_sur.png,"""0"""
taille,images/br_taille.png,images/cb_taille.png,"""0"""
tard,images/br_tard.png,images/cb_tard.png,"""0"""
tarif,images/br_tarif.png,images/cb_tarif.png,"""0"""
tasse,images/br_tasse.png,images/cb_tasse.png,"""0"""
teste,images/br_teste.png,images/cb_teste.png,"""0"""
tien,images/br_tien.png,images/cb_tien.png,"""0"""
tigre,images/br_tigre.png,images/cb_tigre.png,"""0"""
toi,images/br_toi.png,images/cb_toi.png,"""0"""
tonne,images/br_tonne.png,images/cb_tonne.png,"""0"""
tortues,images/br_tortues.png,images/cb_tortues.png,"""0"""
tour,images/br_tour.png,images/cb_tour.png,"""0"""
tous,images/br_tous.png,images/cb_tous.png,"""0"""
tram,images/br_tram.png,images/cb_tram.png,"""0"""
travaux,images/br_travaux.png,images/cb_travaux.png,"""0"""
trois,images/br_trois.png,images/cb_trois.png,"""0"""
tromper,images/br_tromper.png,images/cb_tromper.png,"""0"""
très,images/br_tres.png,images/cb_tres.png,"""0"""
tête,images/br_tete.png,images/cb_tete.png,"""0"""
urgente,images/br_urgente.png,images/cb_urgente.png,"""0"""
vendu,images/br_vendu.png,images/cb_vendu.png,"""0"""
vent,images/br_vent.png,images/cb_vent.png,"""0"""
vert,images/br_vert.png,images/cb_vert.png,"""0"""
vin,images/br_vin.png,images/cb_vin.png,"""0"""
vise,images/br_vise.png,images/cb_vise.png,"""0"""
vivra,images/br_vivra.png,images/cb_vivra.png,"""0"""
voter,images/br_voter.png,images/cb_voter.png,"""0"""
zoo,images/br_zoo.png,images/cb_zoo.png,"""0"""
zéro,images/br_zero.png,images/cb_zero.png,"""0"""
écrire,images/br_ecrire.png,images/cb_ecrire.png,"""0"""
églises,images/br_eglises.png,images/cb_eglises.png,"""0"""
être,images/br_etre.png,images/cb_etre.png,"""0"""
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,